id,name,bn_name,description,address,website_url,facebook_url,twitter_url,linkedin_url,youtube_url,email,phone,origin_country,created_by,created_at,updated_by,updated_at,organization_type
106,Grameenphone,null,offers telemedicine services through "Dial 789" service and Tonic platform,null,https://www.grameenphone.com/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
107,Pulse Healthcare,null,provides telemedicine services,null,https://pulsehealthcare.com.bd/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
108,DaktarBhai,null,provides telemedicine services,null,https://www.daktarbhai.com/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
109,e-Hospital Ltd.,null,provides telemedicine services,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
110,Dhaka University Telemedicine Program,null,provides telemedicine services,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
111,Jeeon Connect,null,facilitates access to pharmaceutical aids,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
112,Sebaghar,null,provides a platform for video consultations,null,https://sebaghar.com/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",TP
113,Department of Health Promotion and Health Education at Bangladesh University of Health Sciences (BUHS),null,offers academic programs in public health,null,https://buhs.ac.bd/buhs-department-of-health-promotion-and-health-education/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HEO
114,BACHAO,null,includes health and hygiene education as part of its support for underprivileged communities,null,https://www.bachaohelp.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HEO
115,Sejuti Health and Education Development Foundation (SHEDF),null,works on enhancing people's capacity for claiming their rights in health and WATSAN,null,https://www.susana.org/community/partners?id=514,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",HEO
116,Bangladesh Disaster Preparedness Center (BDPC),null,provides guidance and training for disaster risk reduction,null,http://www.bdpc.org.bd/,https://www.facebook.com/bdpcdhaka,null,null,http://www.youtube.com/bdpcdhaka,info@bdpc.org.bd,"+88 (02) 986 2169",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",DRO
117,Esho Nije Kori,null,offers counseling services and corporate wellness programs for individuals and organizations facing mental health challenges,null,https://www.eshonijekori.com/,null,null,null,null,info@eshonijekori.com,"+880 1304 037003",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MHS
118,Moner Bondhu,null,"provides both online and in-person mental health counseling services, including a 24/7 helpline",null,https://monerbondhu.com/,null,null,null,null,info@monerbondhu.com,"+880 1776632344",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MHS
119,Bangladeshi Mental Health Forum (BMHF),null,works to raise awareness of mental health within the Bangladeshi community and to challenge stigma,null,https://bangladeshimentalhealth.org/,null,null,null,null,shamsur@bangladeshimentalhealth.org,"0771 607 8840",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MHS
120,Bangladesh Centre For Rehabilitation (BCR),null,"offers integrated services for pain, physiotherapy, and neurological conditions",null,https://www.bcr.com.bd/,https://www.facebook.com/Bangladesh-Centre-for-Rehabilitation-272512341352687/,null,null,null,info@bcr.com.bd,"+880 1958-060777",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RC
121,Omega Point BD,null,specializes in drug addiction treatment and rehabilitation,null,https://omegapointbd.org/,null,null,null,null,null,"+88 01403215011",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RC
122,Bangladesh Rehabilitation Centre for Trauma Victims (BRCT),null,focuses on the rehabilitation of torture survivors through a multidisciplinary approach,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RC
123,CRP - Centre for the Rehabilitation of the Paralysed,null,provides comprehensive rehabilitation services for people with disabilities,null,https://www.crp-bangladesh.org/,null,null,null,null,info@crp-bangladesh.org,"+88 02223371464 - 5",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RC
124,Porichorja Rehab Center,null,offers treatment for drug addiction and mental health issues,null,https://porichorjabd.com/,null,null,null,null,null,"+88 01403215011",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",RC
125,Memorial Christian Hospital,null,offers significant obstetrical and surgical care,null,https://abwe.org/memorial-christian-hospital/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MMO
126,Aloha Medical Mission,null,runs clinics for women and children,null,https://alohamedicalmission.org/,null,null,null,null,info@alohamedicalmission.org,"(808) 847-3400",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MMO
127,Global Response Medicine,null,provides volunteer medical care in crisis situations,null,https://global-response.org/,null,null,null,null,info@global-response.org,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",MMO
128,Bangladesh Cancer Aid Trust (BANCAT),null,provides comprehensive support and resources for cancer patients,null,https://avpn.asia/organisation/bangladesh-cancer-aid-trust/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PSO
129,Hospice Bangladesh,null,offers compassionate palliative care to adults and children with life-limiting illnesses,null,https://iahpc.org/resources/catalogue/global-directory-of-institutions-and-organizations/listing/?id=1027,null,null,null,null,care@hospicebangladesh.com,"+88-09606-788889",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PSO
130,Noora Health,null,provides training and resources to empower caregivers and patients,null,https://noorahealth.org/bangladesh/,null,null,null,null,info@noorahealth.org,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PSO
131,CANCER CARE AND RESEARCH TRUST BANGLADESH,null,"offers free consultations, financial assistance, and patient counseling for cancer patients",null,https://ccrtbd.org/,null,null,null,null,ccrtbd@gmail.com,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",PSO
132,BEDS - Bangladesh Environment And Development Society,null,works towards ecological balance and harmony between humans and nature,null,https://www.bedsbd.org/site,https://web.facebook.com/BEDSBangladesh/,https://twitter.com/BedsBangladesh,null,https://www.youtube.com/channel/UC0ptbs_CYyLsXQlzpurDuqg,info@bedsbd.org,"+ 88 041 721123",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
133,EHS+ Center - Bangladesh,null,"provides training to industry professionals on health, safety, environmental, and energy management",null,https://sustain.org/program/ehs-center-bangladesh/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
134,Center for Environmental and Geographic Information Services (CEGIS),null,works on resource management and environmental sustainability,null,https://www.cegisbd.com/,null,null,null,null,cegis@cegisbd.com,"+880 2 9852353, 9852354",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
135,Centre for People & Environ (CPE),null,focuses on research and capacity building related to climate resilience and environmental management,null,https://cpe-bd.org/,null,null,null,null,info@cpe-bd.org,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
136,Institute for Sustainable Communities (ISC),null,collaborates with factories to improve resource efficiency and environmental safety,null,https://sustain.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
137,OSHE Foundation,null,advocates for occupational safety and health in various sectors,null,https://oshefoundation.org/,null,null,null,null,info@oshefoundation.org,"+88-02-9118693, +88-02-9141864",BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",EHO
138,CDC (Centers for Disease Control and Prevention),null,works closely with the Government of Bangladesh to strengthen public health capabilities,null,https://www.cdc.gov/global-health/countries/bangladesh.html,null,null,null,null,null,null,UNITED_STATES,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",GHI
139,Women in Global Health Bangladesh,null,promotes gender equality in health leadership within the country,null,https://womeningh.org/chapters/bangladesh/,wghbangladesh@womeningh.org,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",GHI
140,Global Alliance for Improved Nutrition,null,null,null,https://www.gainhealth.org/,null,null,null,null,null,null,SWITZERLAND,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
141,World Bank,null,null,null,https://www.worldbank.org/en/country/bangladesh,null,null,null,null,null,null,UNITED_STATES,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
142,Al Basar International Foundation,null,focused on eye health,null,https://albasar.org/,null,null,null,null,null,null,SAUDI_ARABIA,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
143,Nutrition International,null,null,null,https://www.nutritionintl.org/,null,null,null,null,null,null,CANADA,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
144,Monno Medical College & Hospital,null,null,null,null,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
145,Ad-din Foundation,null,null,null,http://www.ad-din.org/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
146,Ibn Sina Trust,null,null,null,https://www.ibnsinatrust.com/,null,null,null,null,null,null,BANGLADESH,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
147,Concern Worldwide,null,null,null,https://www.concern.net/,null,null,null,null,null,null,IRELAND,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
148,WaterAid,null,focused on water and sanitation,null,https://www.wateraid.org/,null,null,null,null,null,null,UNITED_KINGDOM,"admin","2023-10-26 10:00:00","admin","2023-10-26 10:00:00",OTHER
